what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769753580422
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769753583650
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769753589970
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769753682936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769753684588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769753767420
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769753769922
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769753771469
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769753776535
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769753778050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769753781557
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769753782729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769753839684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769753842983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769753930289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769753972268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769754000873
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769754008640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769754010087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769754130581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769754197356
